scenario,ebno_db,best_ber_classical_receiver,best_ber_classical,ber_upair,ber_ratio_best_classical_over_upair,best_bler_classical_receiver,best_bler_classical,bler_upair,bler_ratio_best_classical_over_upair,best_nmse_classical_receiver,best_nmse_classical,nmse_upair,nmse_ratio_best_classical_over_upair
Mild main,0.0,paper_cfgres_phaseaware_ls_lmmse,0.0697306265647057,0.0228056298838055,3.0576058157561397,paper_cfgres_phaseaware_ls_lmmse,0.9999389647273348,0.7970784506760538,1.2545050789909349,paper_cfgres_phaseaware_ls_lmmse,0.0928465766337467,0.0259444538532989,3.578667608836215
Mild main,2.0,paper_cfgres_phaseaware_ls_lmmse,0.0013757394532731,2.880975719143919e-05,47.752552863649285,paper_cfgres_phaseaware_ls_lmmse,0.0479939786018803,0.0009969094535335,48.142766057406554,paper_cfgres_phaseaware_ls_lmmse,0.0710718464106321,0.0172518571598629,4.119663509386308
Mild main,4.0,baseline_ddcpe_ls_lmmse,6.520156304645752e-06,0.0,inf,baseline_ddcpe_ls_lmmse,0.0003458663122728,0.0,inf,paper_cfgres_phaseaware_ls_lmmse,0.0569443738495465,0.0122434278819127,4.651015581483582
Mild main,6.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0411893476193654,0.0090613729407778,4.545596775297258
Mild main,8.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0285880292467481,0.0070168222036954,4.074213143336061
Mild main,10.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0208364828649791,0.0056735180469331,3.672585985029615
Mild main,12.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0159615631109772,0.0047549109785904,3.3568584528388015
Mild main,14.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0129190378720522,0.0041406515356356,3.1200495286472103
Mild main,16.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0110050332514219,0.0037122091107448,2.964551005375315
Mild main,18.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0098147414937557,0.0034462127828192,2.8479789590144455
Mild clean,0.0,paper_cfgres_phaseaware_ls_lmmse,0.0696929770056158,0.0210864933305856,3.3051003745856278,paper_cfgres_phaseaware_ls_lmmse,0.9998575843637808,0.7706502301152796,1.2974207303022731,paper_cfgres_phaseaware_ls_lmmse,0.0923291576909832,0.0252034613840805,3.663352278639867
Mild clean,2.0,baseline_ddcpe_ls_lmmse,0.0015240763924992,1.700719203157064e-05,89.61364049221295,baseline_ddcpe_ls_lmmse,0.0588582354830578,0.0008748386753723,67.27895912696114,paper_cfgres_phaseaware_ls_lmmse,0.0703920618980191,0.0165119018565746,4.263110482938757
Mild clean,4.0,baseline_ddcpe_ls_lmmse,9.168124313063686e-06,0.0,inf,baseline_ddcpe_ls_lmmse,0.0002848312724381,0.0,inf,paper_cfgres_phaseaware_ls_lmmse,0.0558490860712481,0.0114582946407608,4.874118516081366
Mild clean,6.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.040882767039875,0.0083136064586142,4.917573046474198
Mild clean,8.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.028386715970555,0.0063666700380053,4.458644126537561
Mild clean,10.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0206842438456078,0.0051138433482265,4.044755076977705
Mild clean,12.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0157393529207183,0.0042482388707867,3.704912411811637
Mild clean,14.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0127421752385998,0.0036838942064605,3.458887395912092
Mild clean,16.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0108355514657887,0.003301773549083,3.2817367105015585
Mild clean,18.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0096823631156439,0.0030446200103142,3.1801548576975605
Mild DMRS-rich,0.0,paper_cfgres_phaseaware_ls_lmmse,0.0726511275861412,0.028280620357691,2.5689368432253468,baseline_ls_lmmse,1.0,0.8990071612643078,1.1123381916042383,paper_cfgres_phaseaware_ls_lmmse,0.0702953337604412,0.0147474749192042,4.766601343318945
Mild DMRS-rich,2.0,paper_cfgres_phaseaware_ls_lmmse,0.0003725502846911,2.599686615489816e-05,14.330584404724739,paper_cfgres_phaseaware_ls_lmmse,0.0135701521066948,0.0008341486100107,16.268266761867206,paper_cfgres_phaseaware_ls_lmmse,0.0491942431617644,0.0094095259482855,5.228131941198167
Mild DMRS-rich,4.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,paper_cfgres_phaseaware_ls_lmmse,0.0358816338120959,0.00631052956669,5.6859940885938265
Mild DMRS-rich,6.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,paper_cfgres_phaseaware_ls_lmmse,0.0273949230140715,0.0043821537519761,6.251474632015812
Mild DMRS-rich,8.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,paper_cfgres_phaseaware_ls_lmmse,0.0221809216891415,0.0031575167122355,7.024799458127827
Mild DMRS-rich,10.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0161948795866919,0.0023257670914063,6.96324221222835
Mild DMRS-rich,12.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0115657438309426,0.0017687973590909,6.538761363193683
Mild DMRS-rich,14.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0086337554039346,0.0013838693821526,6.238851379531822
Mild DMRS-rich,16.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0068035949298064,0.0011204754769096,6.072060540380139
Mild DMRS-rich,18.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ls_lmmse,0.0,0.0,1.0,baseline_ddcpe_ls_lmmse,0.0056280646595041,0.0009352980529229,6.017402304982711
